Transaction ID,Date,Transaction Type,Product Title,Product ID,SKU ID,Country of Buyer,Buyer Postal Code,Amount (Merchant Currency)
GPA.3352-9153-0515-45980,2021-06-17,Charge,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,premium,US,76548,2.93
GPA.3334-2898-1658-03581,2021-06-17,Charge,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,premium,US,78832,2.93
GPA.3341-1749-5747-83504,2021-06-17,Charge,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,78832,4.61
GPA.3339-7825-9255-32541,2021-06-18,Charge,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,28574,4.62
GPA.3367-4631-1666-62319,2021-06-18,Charge,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,premium,US,28574,2.94
GPA.3366-1954-7712-90235,2021-06-18,Charge,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,premium,US,35121,2.94
GPA.3389-9228-5632-97259,2021-06-18,Charge,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,75901,4.63
GPA.3358-2449-5442-36828,2021-06-18,Charge,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,premium,US,97045,2.94
GPA.3394-7980-7807-13254,2021-06-18,Charge,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,97045,4.63
GPA.3384-4508-4040-84125,2021-06-19,Charge,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,premium,US,44221,2.94
GPA.3325-4674-6845-16346,2021-06-19,Charge,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,premium,DE,86502,1.76
GPA.3363-6515-0926-94146,2021-06-19,Charge,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,64116,4.63
GPA.3343-1187-4833-23213,2021-06-19,Charge,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,46706,4.63
GPA.3348-3629-9588-36037,2021-06-19,Charge,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,98272,4.63
GPA.3328-6949-5307-41127,2021-06-19,Charge,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,83442,4.63
GPA.3303-6810-2204-63898,2021-06-19,Charge,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,91755,4.63
GPA.3334-7720-8399-62706,2021-06-19,Charge,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,premium,GB,DN200HS,1.76
GPA.3342-8796-9789-45048,2021-06-19,Charge,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,96789,4.63
GPA.3373-0102-9937-62767,2021-06-20,Charge,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,AU,4740,4.58
GPA.3386-3877-9380-35607,2021-06-20,Charge,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,premium,US,49415,2.94
GPA.3364-0094-7386-07936,2021-06-20,Charge,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,49415,4.63
GPA.3347-1332-6757-86532,2021-06-20,Charge,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,14150,4.63
GPA.3386-3127-3609-50816,2021-06-20,Charge,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,48708,4.63
GPA.3308-9303-0439-23826,2021-06-20,Charge,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,92345,4.63
GPA.3346-7468-4715-25720,2021-06-20,Charge,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,55401,4.63
GPA.3348-4787-0045-87333,2021-06-20,Charge,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,premium,US,12839,2.94
GPA.3397-6234-9494-38006,2021-06-20,Charge,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,premium,TR,06450,1.55
GPA.3300-7136-4923-57512,2021-06-21,Charge,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,premium,US,45337,2.93
GPA.3391-3496-5482-64827,2021-06-21,Charge,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,premium,US,33955,2.93
GPA.3375-4701-7703-56347,2021-06-21,Charge,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,premium,US,24301,2.93
GPA.3378-7766-5008-68857,2021-06-21,Charge,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,90650,4.61
GPA.3365-6870-4220-73262,2021-06-21,Charge,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,77351,4.61
